iter	Logloss
0	0.6775326347
1	0.6626520009
2	0.6472344466
3	0.6343253263
4	0.6230734727
5	0.6108437842
6	0.5989965607
7	0.5864311172
8	0.5787001342
9	0.5681451157
10	0.5586791661111	0.5512909571212	0.5408038691313	0.53462741514	0.5261611374
1515	0.5206191281616	0.5129564871717	0.5073740484
18	0.5002913841919	0.4932056020	20	0.4873399048
21	0.4811694024
22	0.4756251773
23	0.4686896626
24	0.4636589209
25	0.4582666886
26	0.4532950939
27	0.4478537297
28	0.4440580572
29	0.4401848901
30	0.4357722987
31	0.4312076735
32	0.4266777731
33	0.4225651447
34	0.4196338153
35	0.4167966862
36	0.4136387428
37	0.4102213076
38	0.4074723039
39	0.4050569207
40	0.4020261784
41	0.3990278212
42	0.3969302559
43	0.394332465
44	0.3900894339
45	0.387912445
46	0.38470028
47	0.3822920388
48	0.3803844747
49	0.3782521436
50	0.3757726878
51	0.3730655919
52	0.3707132551
53	0.3694380431
54	0.3671151772
55	0.3653021827
56	0.3629153674
57	0.3602305594
58	0.3583799669
59	0.3559759123
60	0.3536387625
61	0.3515925456
62	0.3493141734
63	0.3464748277
64	0.3453318244
65	0.3436705968
66	0.3416707411
67	0.3402181496
68	0.3381148994
69	0.3364120514
70	0.3351246488
71	0.3331231102
72	0.3320328508
73	0.3296644856
74	0.3279975732
75	0.3262108275
76	0.3241786072
77	0.3221044585
78	0.3207450615
79	0.3193026699
80	0.3180103623
81	0.316376656
82	0.3147301023
83	0.3122740427
84	0.3105538117
85	0.3085004528
86	0.3073345048
87	0.3047339639
88	0.3035376215
89	0.3023189501
90	0.3009060088
91	0.2993670158
92	0.2984289953
93	0.296824842
94	0.2950458129
95	0.2939258568
96	0.292720669
97	0.291425365
98	0.2897557641
99	0.2889180392
100	0.2875450971
101	0.2857064284
102	0.2848329935
103	0.2834477171
104	0.2825240627
105	0.2815653141
106	0.2807103499
107	0.2796557798
108	0.2783712709
109	0.2768381885
110	0.2758102366
111	0.2748043673
112	0.2729646109
113	0.271536298
114	0.2703744956
115	0.2689842322
116	0.2676218593
117	0.2666041894
118	0.2652917078
119	0.2649296425
120	0.2637710828
121	0.2629682673
122	0.2622228134
123	0.2612788618
124	0.2602893493
125	0.2596330059
126	0.2584074594
127	0.2573390363
128	0.2569798647
129	0.2560121066
130	0.2547851439
131	0.2545198852
132	0.2534906609
133	0.2523898732
134	0.2509884863
135	0.2500212617
136	0.2492736119
137	0.248291385
138	0.2475851709
139	0.2461907824
140	0.2448882544
141	0.2442026042
142	0.2430078626
143	0.2418939812
144	0.2408969369
145	0.2405238302
146	0.23940332
147	0.2385736195
148	0.2378013216
149	0.23722943
150	0.2361157949
151	0.2356905806
152	0.2351623412
153	0.2344568043
154	0.2337558852
155	0.2328734613
156	0.2324177704
157	0.2315122172
158	0.2305317143
159	0.2302175495
160	0.2291085731
161	0.2286305944
162	0.2275803546
163	0.2271722769
164	0.2262693917
165	0.2254374542
166	0.2248983787
167	0.2238189348
168	0.2234474495
169	0.2223090022
170	0.2212645089
171	0.2205135959
172	0.2199715446
173	0.2192378708
174	0.2181748658
175	0.2175952986
176	0.2165796194
177	0.2162480101
178	0.2153242531
179	0.2148904191
180	0.2142109874
181	0.2138737343
182	0.213098399
183	0.2124614703
184	0.2118840375
185	0.2113190416
186	0.2109693926
187	0.2103264917
188	0.2096374758
189	0.2089890132
190	0.2087581098
191	0.2084140021
192	0.2074423651
193	0.2068967633
194	0.2061999487
195	0.2052974329
196	0.2046802472
197	0.204124856
198	0.2035001589
199	0.2028337388
200	0.2025254845
201	0.2015324627
202	0.2011792222
203	0.2005125558
204	0.1999435579
205	0.1994944138
206	0.1988522517
207	0.198207237
208	0.1971705013
209	0.1965659782
210	0.1961673616
211	0.1954511118
212	0.194728582
213	0.1937330152
214	0.1929852217
215	0.1920594534
216	0.1914010372
217	0.1909849145
218	0.1907125138
219	0.18982028
220	0.1892213392
221	0.1888816233
222	0.1882509951
223	0.1877096211
224	0.1865900959
225	0.1858921936
226	0.1850563568
227	0.1847106482
228	0.1842370614
229	0.1838885412
230	0.1833297227
231	0.1828369264
232	0.1824043033
233	0.1818009911
234	0.1815558243
235	0.1808512315
236	0.1802703714
237	0.17990336
238	0.179178819
239	0.1784469512
240	0.1780458308
241	0.1776347568
242	0.1771982138
243	0.1766205347
244	0.1757819888
245	0.1752266592
246	0.1747587162
247	0.1740810289
248	0.1734834221
249	0.1728795147
250	0.1725400041
251	0.1718483613
252	0.1714081447
253	0.1710443965
254	0.1706837473
255	0.1701547075
256	0.1697083033
257	0.1694200486
258	0.1689519209
259	0.16861397
260	0.1682146453
261	0.1677074112
262	0.1672842081
263	0.1668978231
264	0.1663995472
265	0.16601582
266	0.1658093902
267	0.1653973311
268	0.1652160419
269	0.1647131996
270	0.1644835174
271	0.1638790251
272	0.1635914785
273	0.163331566
274	0.1626905635
275	0.1620499817
276	0.1616627963
277	0.1611260707
278	0.1606891481
279	0.1601518684
280	0.1597162797
281	0.1591787845
282	0.1587585778
283	0.1583182586
284	0.1577603841
285	0.1573780627
286	0.1567802917
287	0.1561295818
288	0.1556896833
289	0.1553056482
290	0.1548894127
291	0.1544535264
292	0.1541817825
293	0.1539020141
