iter	Passed	Remaining
0	166	166559
1	218	108934
2	255	84760
3	284	70855
4	312	62169
5	348	57703
6	374	53082
7	400	49654
8	436	48089
9	455	45095
10	491	44156
11	537	44236
12	565	42942
13	586	41328
14	622	40891
15	642	39496
16	677	39204
17	706	38550
18	727	37572
19	745	36505
20	773	36080
21	797	35472
22	828	35192
23	856	34822
24	882	34400
25	913	34217
26	933	33657
27	968	33614
28	990	33181
29	1026	33206
30	1052	32888
31	1077	32605
32	1099	32225
33	1124	31957
34	1162	32053
35	1204	32244
36	1235	32144
37	1269	32147
38	1306	32200
39	1339	32144
40	1386	32428
41	1416	32309
42	1446	32191
43	1493	32442
44	1535	32590
45	1563	32435
46	1595	32346
47	1623	32194
48	1647	31969
49	1679	31901
50	1702	31685
51	1724	31431
52	1742	31126
53	1777	31131
54	1819	31258
55	1832	30887
56	1861	30793
57	1891	30728
58	1937	30902
59	1980	31020
60	2017	31061
61	2042	30898
62	2054	30552
63	2083	30471
64	2114	30415
65	2145	30362
66	2179	30350
67	2207	30253
68	2222	29987
69	2250	29898
70	2282	29858
71	2306	29726
72	2321	29475
73	2343	29325
74	2377	29316
75	2409	29293
76	2458	29464
77	2474	29245
78	2501	29159
79	2528	29079
80	2550	28934
81	2578	28871
82	2596	28690
83	2629	28672
84	2650	28533
85	2677	28458
86	2706	28398
87	2720	28190
88	2751	28164
89	2785	28168
90	2816	28135
91	2845	28081
92	2871	28002
93	2899	27943
94	2922	27838
95	2965	27929
96	2984	27785
97	3005	27659
98	3050	27766
99	3090	27811
100	3120	27772
101	3140	27650
102	3166	27574
103	3199	27563
104	3224	27485
105	3251	27423
106	3271	27302
107	3290	27177
108	3318	27124
109	3342	27041
110	3368	26978
111	3401	26972
112	3437	26978
113	3451	26825
114	3484	26817
115	3520	26824
116	3550	26793
117	3581	26773
118	3611	26739
119	3637	26672
120	3653	26541
121	3675	26454
122	3700	26383
123	3738	26411
124	3768	26381
125	3796	26334
126	3824	26289
127	3841	26170
128	3858	26051
129	3887	26014
130	3913	25963
131	3939	25901
132	3960	25814
133	3990	25788
134	4018	25749
135	4064	25819
136	4103	25847
137	4132	25810
138	4152	25722
139	4173	25639
140	4196	25567
141	4226	25535
142	4248	25462
143	4266	25363
144	4300	25356
145	4335	25361
146	4364	25326
147	4383	25232
148	4410	25188
149	4436	25140
150	4461	25086
151	4488	25040
152	4517	25010
153	4549	24994
154	4598	25067
155	4630	25054
156	4711	25295
157	4746	25292
158	4769	25228
159	4798	25193
160	4826	25150
161	4845	25063
162	4867	24995
163	4886	24908
164	4909	24847
165	4925	24745
166	4952	24703
167	4985	24688
168	5014	24656
169	5034	24580
170	5066	24563
171	5091	24511
172	5136	24552
173	5161	24502
174	5183	24437
175	5203	24362
176	5223	24289
177	5252	24255
178	5287	24252
179	5305	24168
180	5328	24112
181	5358	24081
182	5389	24060
183	5417	24025
184	5447	23999
185	5474	23959
186	5502	23921
187	5530	23888
188	5554	23835
189	5585	23810
190	5611	23769
191	5680	23903
192	5722	23929
193	5747	23879
194	5768	23812
195	5786	23737
196	5804	23658
197	5822	23585
198	5841	23511
199	5859	23437
200	5883	23386
201	5903	23320
202	5928	23274
203	5946	23204
204	5965	23132
205	6004	23143
206	6034	23118
207	6050	23039
208	6072	22983
209	6088	22906
210	6101	22815
211	6123	22761
212	6135	22668
213	6149	22585
214	6163	22505
215	6179	22427
216	6197	22362
217	6207	22268
218	6225	22202
219	6238	22116
220	6253	22042
221	6266	21960
222	6282	21889
223	6295	21809
224	6310	21737
225	6322	21653
226	6334	21569
227	6350	21501
228	6361	21418
229	6371	21330
230	6392	21281
231	6414	21234
232	6432	21173
233	6446	21101
234	6467	21052
235	6486	20999
236	6505	20942
237	6519	20874
238	6534	20807
239	6549	20739
240	6561	20664
241	6577	20602
242	6594	20543
243	6610	20482
244	6623	20410
245	6635	20336
246	6649	20270
247	6659	20194
248	6671	20121
249	6685	20057
250	6702	20001
251	6717	19940
252	6734	19884
253	6754	19838
254	6772	19787
255	6795	19750
256	6821	19722
257	6839	19670
258	6854	19609
259	6869	19550
260	6888	19504
261	6897	19428
262	6912	19370
263	6929	19317
264	6945	19264
265	6963	19214
266	6976	19153
267	6988	19087
268	7001	19025
269	7024	18991
270	7034	18922
271	7055	18882
272	7071	18831
273	7084	18771
274	7095	18706
275	7109	18650
276	7122	18589
277	7139	18543
278	7149	18474
279	7162	18418
280	7173	18355
281	7184	18293
282	7198	18238
283	7214	18189
284	7230	18138
285	7243	18083
286	7259	18034
287	7272	17978
288	7284	17920
289	7297	17866
290	7309	17809
291	7320	17750
292	7332	17692
293	7346	17642
294	7360	17591
295	7378	17549
296	7391	17494
297	7402	17438
298	7416	17387
299	7428	17333
300	7440	17278
301	7451	17221
302	7465	17173
303	7487	17141
304	7498	17085
305	7515	17045
306	7530	16998
307	7557	16979
308	7574	16939
309	7597	16909
310	7615	16870
311	7628	16821
312	7650	16792
313	7682	16784
314	7702	16748
315	7716	16702
316	7732	16660
317	7750	16621
318	7765	16577
319	7779	16532
320	7795	16489
321	7813	16451
322	7846	16445
323	7858	16397
324	7878	16362
325	7906	16346
326	7924	16309
327	7940	16268
328	7958	16232
329	7978	16199
330	7988	16146
331	7999	16096
332	8014	16053
333	8029	16010
334	8040	15960
335	8049	15906
336	8065	15867
337	8076	15817
338	8091	15777
339	8105	15735
340	8117	15688
341	8130	15643
342	8140	15593
343	8157	15555
344	8168	15508
345	8179	15460
346	8197	15426
347	8211	15384
348	8227	15346
349	8243	15309
350	8255	15264
351	8270	15225
352	8282	15181
353	8297	15142
354	8312	15103
355	8327	15063
356	8342	15025
357	8359	14990
358	8376	14956
359	8385	14907
360	8399	14867
361	8414	14829
362	8426	14787
363	8440	14746
364	8456	14712
365	8471	14674
366	8488	14640
367	8504	14605
368	8515	14561
369	8531	14526
370	8542	14483
371	8557	14446
372	8574	14412
373	8588	14375
374	8601	14335
375	8616	14299
376	8636	14272
377	8652	14237
378	8662	14193
379	8677	14158
380	8685	14111
381	8698	14073
382	8714	14038
383	8730	14004
384	8743	13966
385	8753	13923
386	8766	13885
387	8779	13848
388	8794	13813
389	8808	13776
390	8821	13739
391	8836	13705
392	8855	13677
393	8870	13643
394	8888	13613
395	8900	13575
396	8912	13537
397	8926	13502
398	8937	13462
399	8954	13432
400	8976	13408
401	8987	13369
402	9004	13339
403	9018	13305
404	9031	13268
405	9049	13240
406	9066	13209
407	9081	13176
408	9093	13140
409	9110	13110
410	9127	13080
411	9138	13041
412	9150	13005
413	9164	12971
414	9175	12934
415	9196	12910
416	9210	12877
417	9222	12841
418	9234	12804
419	9246	12768
420	9267	12745
421	9285	12718
422	9299	12684
423	9311	12649
424	9322	12612
425	9333	12576
426	9348	12544
427	9361	12511
428	9373	12475
429	9388	12445
430	9401	12411
431	9419	12384
432	9433	12353
433	9444	12316
434	9454	12279
435	9468	12248
436	9482	12216
437	9497	12185
438	9515	12159
439	9527	12126
440	9539	12091
441	9553	12061
442	9571	12034
443	9582	11999
444	9595	11967
445	9608	11935
446	9621	11903
447	9633	11870
448	9644	11834
449	9656	11802
450	9670	11771
451	9679	11735
452	9697	11710
453	9716	11685
454	9733	11658
455	9749	11631
456	9763	11601
457	9775	11568
458	9790	11539
459	9800	11504
460	9817	11478
461	9837	11455
462	9849	11423
463	9863	11394
464	9873	11359
465	9893	11337
466	9908	11308
467	9925	11282
468	9938	11252
469	9954	11225
470	9965	11192
471	9978	11162
472	9991	11132
473	10000	11097
474	10013	11067
475	10023	11034
476	10032	10999
477	10046	10971
478	10059	10941
479	10073	10913
480	10085	10882
481	10099	10854
482	10118	10830
483	10132	10801
484	10149	10777
485	10159	10744
486	10169	10712
487	10182	10683
488	10200	10659
489	10216	10633
490	10229	10604
491	10243	10576
492	10254	10545
493	10270	10519
494	10279	10487
495	10294	10460
496	10314	10439
497	10333	10416
498	10351	10392
499	10376	10376
500	10385	10344
501	10402	10319
502	10418	10293
503	10430	10264
504	10446	10239
505	10462	10214
506	10481	10191
507	10494	10163
508	10505	10133
509	10519	10106
510	10533	10080
511	10546	10052
512	10559	10023
513	10571	9995
514	10582	9966
515	10596	9939
516	10607	9910
517	10620	9882
518	10640	9861
519	10652	9833
520	10662	9803
521	10678	9778
522	10689	9749
523	10710	9729
524	10721	9700
525	10734	9673
526	10751	9649
527	10765	9623
528	10782	9600
529	10794	9572
530	10806	9544
531	10818	9516
532	10826	9486
533	10835	9455
534	10847	9428
535	10860	9401
536	10874	9376
537	10885	9347
538	10897	9320
539	10909	9293
540	10923	9267
541	10937	9242
542	10949	9214
543	10963	9190
544	10978	9165
545	10993	9141
546	11002	9112
547	11015	9085
548	11033	9063
549	11048	9039
550	11061	9013
551	11073	8987
552	11094	8967
553	11106	8941
554	11114	8911
555	11126	8885
556	11139	8859
557	11150	8832
558	11162	8806
559	11176	8781
560	11186	8753
561	11198	8727
562	11211	8702
563	11224	8676
564	11238	8652
565	11249	8625
566	11260	8598
567	11272	8573
568	11286	8549
569	11305	8528
570	11317	8502
571	11329	8477
572	11339	8450
573	11356	8428
574	11367	8402
575	11385	8381
576	11405	8361
577	11420	8338
578	11437	8316
579	11447	8289
580	11464	8267
581	11480	8245
582	11501	8226
583	11522	8207
584	11538	8185
585	11549	8159
586	11565	8137
587	11583	8116
588	11592	8089
589	11608	8066
590	11626	8046
591	11640	8022
592	11656	8000
593	11672	7977
594	11685	7954
595	11701	7931
596	11719	7911
597	11734	7888
598	11745	7863
599	11757	7838
600	11773	7816
601	11786	7792
602	11796	7766
603	11809	7742
604	11821	7718
605	11834	7694
606	11849	7671
607	11861	7647
608	11874	7623
609	11887	7600
610	11903	7578
611	11914	7553
612	11932	7532
613	11944	7508
614	11959	7486
615	11978	7466
616	11993	7444
617	12005	7420
618	12018	7397
619	12031	7374
620	12044	7350
621	12061	7330
622	12075	7307
623	12092	7286
624	12109	7265
625	12123	7243
626	12138	7220
627	12155	7200
628	12171	7179
629	12181	7154
630	12194	7130
631	12204	7106
632	12218	7083
633	12230	7060
634	12241	7036
635	12254	7013
636	12266	6989
637	12279	6967
638	12291	6943
639	12306	6922
640	12322	6901
641	12336	6879
642	12347	6855
643	12362	6833
644	12374	6810
645	12388	6788
646	12400	6765
647	12413	6743
648	12424	6719
649	12438	6697
650	12450	6674
651	12465	6653
652	12482	6632
653	12495	6610
654	12510	6589
655	12525	6568
656	12535	6544
657	12548	6522
658	12558	6498
659	12573	6477
660	12591	6457
661	12604	6435
662	12616	6413
663	12630	6391
664	12640	6367
665	12651	6344
666	12665	6323
667	12680	6302
668	12695	6281
669	12709	6259
670	12721	6237
671	12740	6218
672	12760	6200
673	12772	6177
674	12787	6156
675	12801	6135
676	12817	6115
677	12833	6094
678	12847	6073
679	12861	6052
680	12873	6030
681	12890	6010
682	12902	5988
683	12916	5967
684	12933	5947
685	12952	5928
686	12970	5909
687	12981	5887
688	12995	5865
689	13010	5845
690	13023	5823
691	13036	5802
692	13051	5781
693	13063	5759
694	13080	5740
695	13093	5719
696	13103	5696
697	13114	5674
698	13129	5653
699	13142	5632
700	13158	5612
701	13170	5590
702	13179	5568
703	13195	5547
704	13213	5529
705	13235	5511
706	13259	5495
707	13277	5475
708	13289	5454
709	13304	5434
710	13319	5413
711	13334	5393
712	13351	5374
713	13362	5352
714	13374	5331
715	13388	5310
716	13401	5289
717	13418	5270
718	13426	5247
719	13436	5225
720	13446	5203
721	13460	5183
722	13473	5162
723	13485	5140
724	13497	5119
725	13510	5099
726	13529	5080
727	13548	5062
728	13564	5042
729	13577	5021
730	13593	5002
731	13605	4981
732	13624	4962
733	13634	4941
734	13649	4921
735	13662	4900
736	13676	4880
737	13687	4859
738	13705	4840
739	13724	4822
740	13739	4802
741	13752	4781
742	13771	4763
743	13793	4746
744	13806	4725
745	13822	4706
746	13836	4686
747	13849	4665
748	13862	4645
749	13875	4625
750	13887	4604
751	13900	4584
752	13917	4565
753	13932	4545
754	13953	4527
755	13963	4506
756	13974	4485
757	13987	4465
758	13998	4444
759	14011	4424
760	14030	4406
761	14039	4385
762	14051	4364
763	14065	4344
764	14078	4324
765	14089	4304
766	14101	4283
767	14112	4263
768	14135	4246
769	14148	4226
770	14158	4205
771	14168	4184
772	14181	4164
773	14193	4144
774	14201	4122
775	14211	4102
776	14225	4082
777	14235	4062
778	14249	4042
779	14263	4023
780	14280	4004
781	14290	3983
782	14301	3963
783	14313	3943
784	14322	3922
785	14333	3902
786	14347	3883
787	14362	3863
788	14379	3845
789	14391	3825
790	14404	3805
791	14421	3787
792	14436	3768
793	14448	3748
794	14460	3728
795	14468	3708
796	14480	3688
797	14491	3668
798	14506	3649
799	14522	3630
800	14532	3610
801	14545	3590
802	14559	3571
803	14574	3553
804	14588	3533
805	14608	3516
806	14617	3495
807	14628	3476
808	14646	3457
809	14659	3438
810	14669	3418
811	14684	3399
812	14700	3381
813	14713	3362
814	14721	3341
815	14730	3321
816	14746	3303
817	14757	3283
818	14772	3264
819	14784	3245
820	14800	3226
821	14814	3207
822	14825	3188
823	14837	3169
824	14851	3150
825	14865	3131
826	14873	3111
827	14884	3091
828	14899	3073
829	14914	3054
830	14928	3035
831	14940	3016
832	14955	2998
833	14973	2980
834	14986	2961
835	14994	2941
836	15009	2922
837	15020	2903
838	15030	2884
839	15041	2864
840	15055	2846
841	15072	2828
842	15084	2809
843	15099	2790
844	15114	2772
845	15125	2753
846	15136	2734
847	15147	2715
848	15161	2696
849	15175	2678
850	15187	2659
851	15198	2640
852	15214	2622
853	15230	2603
